name,turf,grass,nopressure,pressure
Akers,35.44,34.33,35.44,34.33
Andersen,36.47,37.4,36.47,37.4
Anderson,35.46,42.67,35.46,42.67
Boyd,25.25,33,25.25,33
Brien,36.22,44.5,36.22,44.5
BrownK,39.93,40,39.93,40
Bryant,32.86,37,32.86,37
Carney,37.13,37.75,37.13,37.75
Christie,36.72,35,36.72,35
Conway,36.35,38.67,36.35,38.67
Cortez,33.57,31.75,33.57,31.75
Cundiff,36.34,40.4,36.34,40.4
Dawson,33.56,39.67,33.56,39.67
Duncan,35.25,44.5,35.25,44.5
Edinger,40.05,38.75,40.05,38.75
Elam,37.05,37.86,37.05,37.86
Feely,35.88,47.14,35.88,47.14
Graham,37.48,24,37.48,24
GramaticaB,35.81,45.75,35.81,45.75
GramaticaM,36.18,50.5,36.18,50.5
Hall,37.65,32.4,37.65,32.4
Hanson,36.57,44,36.57,44
Hollis,36.87,45.67,36.87,45.67
Janikowski,36.79,42,36.79,42
Kasay,36.51,43.8,36.51,43.8
Lindell,34.84,22,34.84,22
Longwell,35.41,36,35.41,36
Mare,36.35,39.33,36.35,39.33
Marler,35.28,55,35.28,55
Nedney,36.52,35.75,36.52,35.75
Peterson,34.67,34.33,34.67,34.33
Rackers,34.34,44,34.34,44
Richey,56,51,56,51
Stover,34.63,45.25,34.63,45.25
Vanderjagt,34.53,43.33,34.53,43.33
Vinatieri,34.59,36.5,34.59,36.5
Wilkins,36.38,36.63,36.38,36.63
